dataid,last_season,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,dh,ph,pr
cobba001,2024,26,24,0,2,1,0,0,1,1,0,1,0,0,8,0,0,1,0,0,0,0,0
colao001,2024,301,278,33,62,9,0,5,23,2,2,3,16,1,81,4,4,5,0,1,2,9,1
coled003,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coleg001,2024,294,259,17,42,2,0,3,16,28,0,1,6,0,116,0,0,4,0,3,0,3,0
colez001,2025,52,47,9,12,2,0,4,11,0,0,0,5,0,20,3,0,0,0,0,0,1,0
colli001,2025,470,398,57,100,22,3,9,54,3,3,6,60,0,110,17,7,8,0,5,5,30,3
confm001,2025,4460,3845,571,941,202,7,182,562,0,30,72,513,28,1064,23,12,94,0,32,43,112,0
conig001,2025,175,161,27,42,11,1,5,20,0,0,1,13,0,53,0,1,1,0,1,2,8,1
contl001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contr001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contw001,2025,4375,3784,536,973,211,11,176,556,5,21,132,432,12,1058,37,22,103,1,45,137,58,1
contw002,2025,2592,2275,350,616,124,5,87,320,1,14,14,288,13,566,23,7,68,0,27,128,18,0
cookb002,2025,55,55,6,13,2,0,3,8,0,0,0,0,0,20,1,0,0,0,0,0,1,1
coopg002,2024,1952,1755,194,462,97,7,58,236,0,11,26,160,0,526,1,1,46,0,16,131,57,0
corbp001,2025,475,414,30,62,9,3,0,23,39,0,1,21,0,172,0,1,4,0,9,0,3,2
cornj003,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corok001,2025,4,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
corrc001,2025,5704,5041,724,1389,283,13,218,787,0,45,34,583,30,1171,34,9,159,1,65,7,8,0
cortc001,2025,99,94,11,29,8,1,4,14,0,2,0,3,0,20,0,0,3,0,0,1,16,2
cortn001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cosgt001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
