dataid,last_season,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,dh,ph,pr
hernd005,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hernd006,2025,332,293,25,63,8,1,3,28,3,7,1,28,0,51,4,5,6,0,7,0,1,3
herne001,2025,4480,4013,561,957,211,17,146,512,9,42,31,385,14,915,20,9,83,0,40,11,247,11
herne002,2024,53,44,1,2,0,0,0,0,8,0,0,1,0,24,0,0,0,0,1,0,0,0
hernh001,2025,294,256,40,68,12,1,10,45,0,4,3,31,0,77,1,1,6,0,2,33,12,0
hernj004,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hernj005,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hernn001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hernt002,2025,4575,4194,591,1091,225,15,227,690,0,24,34,320,8,1318,61,26,83,3,50,64,40,5
herri001,2025,777,672,97,192,27,1,24,98,1,7,19,75,1,156,13,2,24,3,7,101,9,0
herrj003,2025,566,478,56,95,17,1,3,42,27,5,1,55,0,138,1,0,6,0,5,2,3,1
herrt002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herzd001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heuec001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heywj001,2025,7143,6312,887,1595,310,42,188,737,6,34,65,713,29,1280,129,43,106,13,85,6,94,13
hicka001,2024,3775,3240,483,747,124,16,112,409,11,28,17,479,9,819,72,26,48,0,36,26,54,20
hickb003,2025,13,12,3,2,0,0,0,0,0,0,0,1,0,9,2,0,0,0,0,0,1,4
hickj002,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hickl001,2025,390,332,37,82,13,1,6,45,3,3,9,43,0,56,2,0,5,0,5,22,26,0
higak001,2025,1563,1452,161,317,63,2,72,220,4,14,4,89,0,403,5,2,25,0,16,29,21,2
hilld002,2025,625,576,71,132,16,5,14,54,8,2,6,33,0,191,23,5,7,0,7,13,21,16
hillj002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hillr001,2025,291,272,4,30,5,0,0,13,13,1,2,3,0,117,0,0,4,0,1,0,1,0
hills005,2025,936,831,133,181,32,9,44,107,4,4,3,94,4,321,26,4,8,0,9,9,41,28
hillt002,2025,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hindr001,2025,95,89,15,17,5,1,7,14,0,0,1,5,0,37,2,0,1,0,1,1,4,3
hiray002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hiurk001,2025,1116,993,135,233,46,4,50,134,2,5,37,79,3,402,20,8,22,0,7,39,25,4
hjels001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hodgp001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoeib001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoern001,2025,2906,2647,382,751,129,15,37,280,1,19,46,192,10,317,132,27,45,1,41,3,9,4
hoffa001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoffj003,2025,86,77,4,10,1,0,0,3,9,0,0,0,0,31,0,0,1,0,1,0,0,4
hoffn001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoglg001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holdc001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hollg002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hollj003,2025,857,776,98,178,25,5,22,78,0,2,8,71,1,209,21,11,5,0,7,5,4,1
holmc001,2025,12,12,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
holmg001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holmg002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holtt002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
honeb001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hornb002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hortc001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horws001,2025,836,731,106,196,47,0,24,98,0,5,10,90,3,155,0,1,16,0,4,25,27,0
hoskr001,2025,3805,3233,490,761,176,8,192,543,0,31,52,483,12,956,20,9,62,6,31,51,27,0
houct001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
housa001,2025,73,64,2,4,1,0,2,2,5,0,0,4,0,47,0,0,0,0,0,0,0,0
housb001,2025,274,261,26,61,11,0,4,29,0,5,0,8,0,78,5,3,11,0,1,0,2,0
howas003,2024,7,6,0,2,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
hudsb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hudsd001,2024,131,110,7,24,5,0,1,21,14,1,1,5,0,37,0,0,3,0,1,0,0,0
hudsd002,2024,66,57,2,5,0,0,0,2,7,0,1,1,0,28,0,0,1,0,3,0,0,0
hudsj002,2024,33,30,0,5,1,0,0,1,1,0,0,2,0,6,0,0,0,0,0,0,2,0
huffs001,2025,272,251,24,62,10,0,12,24,0,1,0,20,1,97,1,0,4,0,2,13,10,1
hughb002,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hummc001,2025,340,295,32,48,9,3,6,24,1,1,4,39,0,106,7,1,7,0,2,29,37,1
hurtb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hurtj001,2025,83,66,10,11,1,1,0,4,4,1,5,7,0,24,2,0,0,0,1,5,8,9
hurtk001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibana001,2025,1230,1138,140,289,61,5,28,132,2,5,10,75,0,216,10,4,21,0,6,38,128,1
iglej001,2025,4758,4420,511,1228,247,15,54,432,31,21,74,212,7,612,70,39,101,0,57,39,50,20
igler001,2025,48,47,0,4,1,1,0,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0
imans001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indij001,2025,2795,2402,371,598,130,6,72,274,4,20,81,288,2,575,42,15,57,0,25,74,14,1
iriaj001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irvic001,2024,15,11,1,2,0,0,0,1,2,0,0,2,0,4,0,0,0,0,2,0,0,0
irvij001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isbek001,2025,1526,1390,199,330,67,20,23,145,23,9,13,91,0,323,33,15,21,0,15,6,27,23
jacka002,2025,440,393,47,60,20,0,11,32,1,1,14,31,2,179,1,0,6,0,4,1,17,2
jackj001,2024,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
jackj002,2025,183,170,20,47,10,2,5,21,0,0,2,11,0,50,0,2,6,0,2,3,4,0
jackl001,2025,6,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
jacoa001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacqj001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamed003,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jankt001,2025,1769,1561,222,369,55,10,11,100,13,3,13,177,4,373,105,25,26,2,22,38,114,75
jansd001,2025,2054,1794,250,396,84,1,90,260,6,13,33,208,3,428,1,1,27,0,22,30,45,10
jansk001,2025,13,11,1,3,1,0,0,1,1,0,0,1,0,5,0,0,1,0,0,0,1,0
jarvb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javic001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jax-g001,2025,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
jay-t001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffd001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffr002,2025,1883,1662,208,394,83,4,68,223,6,9,39,167,2,477,7,4,37,0,10,79,38,3
jensc001,2025,69,60,12,18,6,0,3,13,0,0,0,9,0,12,0,0,1,0,0,10,4,0
jimed002,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jimee001,2024,2145,1985,233,534,92,2,95,301,0,11,11,138,3,487,3,0,58,0,19,270,22,0
jimej003,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jimel003,2025,242,208,20,43,11,0,5,20,1,3,16,14,0,67,0,0,7,0,2,2,5,4
jobej001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joe-c001,2025,1662,1445,194,346,86,9,35,145,0,9,25,183,1,364,13,11,23,0,14,40,95,4
johnb005,2025,227,202,26,48,7,0,2,17,6,1,3,15,0,54,8,2,2,0,2,1,11,25
johnd006,2025,152,143,23,28,3,0,5,6,0,0,0,9,1,45,3,1,0,0,1,1,9,11
johnp001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnr010,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johns003,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnt003,2025,121,112,12,31,2,1,4,13,0,0,1,8,0,26,2,2,1,0,1,5,6,0
joneg003,2025,8,7,1,1,0,0,1,1,0,0,0,1,0,6,1,0,0,0,0,0,3,2
jonej007,2025,291,257,40,63,17,2,8,35,1,0,6,27,1,82,5,1,4,0,5,47,47,15
jonej008,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonen002,2025,1218,1064,132,263,54,7,30,137,2,7,9,136,7,361,33,11,16,0,8,12,28,7
jordl001,2024,11,10,1,1,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,3,0
joycb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
judga001,2025,5310,4364,917,1264,211,7,386,872,0,36,43,859,107,1463,70,22,120,8,42,224,22,1
julie001,2025,939,803,111,187,37,1,28,72,2,4,6,124,0,299,9,3,13,0,2,42,37,1
julkc001,2025,525,483,54,113,23,0,9,48,0,4,1,37,0,128,20,5,12,0,4,26,19,7
jungj001,2025,1388,1303,169,335,61,5,52,169,0,5,8,72,0,386,11,4,24,0,14,12,7,0
jungj002,2025,152,128,22,24,5,0,0,7,0,0,1,23,0,45,0,1,5,0,0,5,15,1
junij001,2025,9,8,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
junkj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juste001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kahnt001,2025,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
kaisc001,2025,23,22,1,2,1,0,0,2,0,0,0,1,0,7,0,0,1,0,0,0,1,4
karrk001,2025,156,137,20,31,4,0,1,9,0,2,2,15,0,41,0,0,5,0,1,1,0,1
kavan001,2025,129,113,11,19,2,0,4,8,0,0,2,14,0,51,1,0,0,0,0,23,3,0
kayfc001,2025,145,129,16,28,10,1,4,19,1,1,2,12,0,38,4,0,0,0,1,2,4,1
keasl001,2025,207,182,25,55,14,0,4,28,0,1,5,19,0,29,14,3,4,0,3,8,0,0
keird001,2025,102,97,12,11,0,0,3,7,1,0,2,2,0,34,10,3,1,0,1,5,4,26
keitc001,2025,1065,963,122,243,38,6,26,107,0,6,5,91,3,225,8,3,12,0,8,71,36,1
kelej001,2025,1506,1361,162,285,63,6,49,157,1,8,6,130,5,462,31,15,20,0,9,6,28,2
kellb003,2025,20,16,1,2,0,0,0,1,3,0,0,1,0,9,0,0,0,0,0,0,0,0
kellc001,2025,24,18,0,2,0,0,0,0,6,0,0,0,0,8,0,0,1,0,0,0,0,1
kellc002,2025,2253,1988,240,454,84,3,72,258,3,16,26,220,12,460,5,0,57,0,16,16,66,2
kellj001,2024,112,100,8,16,4,0,0,5,9,1,2,0,0,32,1,0,0,0,0,0,3,5
kellk004,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellm002,2025,118,99,4,4,1,0,0,3,13,0,0,6,0,52,0,0,3,0,1,0,0,0
kellm003,2025,43,38,2,3,0,0,0,0,3,0,0,2,0,17,0,0,1,0,0,0,1,0
kellm004,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellz001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kempo001,2025,220,199,26,46,11,0,8,28,0,2,7,12,0,69,2,2,4,0,3,0,6,0
kempt001,2024,2266,1959,265,464,88,15,36,185,22,19,33,232,2,301,53,16,32,1,11,29,129,31
kennb002,2025,181,157,16,28,5,2,2,20,0,3,3,18,0,44,1,0,1,0,2,7,15,2
kentz001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keplm001,2025,4789,4231,617,991,228,17,179,560,3,35,48,471,14,898,39,16,52,1,57,16,85,6
kerko001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kerrr001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kersc001,2025,899,737,48,119,12,1,1,40,117,1,4,40,0,224,1,0,15,0,21,0,8,2
kessg001,2024,70,61,8,8,2,0,1,1,0,0,1,8,0,19,0,1,1,0,0,3,11,6
keucd001,2024,93,81,2,8,1,0,0,3,8,1,0,3,0,54,0,0,0,0,0,1,0,4
kiebc001,2025,516,450,57,90,9,0,12,43,0,3,11,52,3,139,0,1,17,0,2,2,8,2
kierk001,2024,4143,3780,512,927,179,60,99,390,22,18,42,281,13,939,132,40,52,0,48,7,42,30
kikuy001,2025,4,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0
kilic001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kim-h002,2025,2216,1939,256,466,87,8,52,220,14,17,18,228,6,425,85,20,32,0,22,1,49,8
kim-h003,2025,170,161,20,45,6,1,3,17,1,0,1,7,0,52,13,1,0,0,4,0,7,12
kimbc001,2025,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
kinei001,2025,3430,3164,377,826,133,16,36,288,21,16,47,182,5,538,102,30,88,0,44,4,32,20
kingb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingj002,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingm002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kings001,2025,1156,1069,135,243,63,6,30,96,2,7,9,69,2,331,26,8,7,0,11,0,28,13
kinlt001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kirbg001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiria001,2024,899,812,92,199,40,5,27,116,0,9,13,64,3,219,2,1,15,1,8,20,27,1
kirka001,2025,2176,1914,198,514,85,1,56,276,0,24,19,219,7,254,1,0,68,0,18,91,66,0
kitca001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kitta001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kjerh001,2025,316,287,27,62,8,2,10,36,0,1,9,18,2,89,2,0,9,1,4,20,20,0
kleiw001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klofa001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knacl001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knapa001,2024,879,756,83,158,31,4,13,66,5,6,9,103,7,276,2,0,11,0,7,3,92,2
kniza001,2025,975,881,101,186,33,1,19,90,3,4,17,70,2,214,4,1,31,0,10,5,22,8
kochg001,2024,8,7,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0
kochj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kochm001,2024,35,26,1,1,0,0,0,0,5,0,0,4,0,19,0,0,0,0,1,0,0,0
koenj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
koles001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kopem001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kossc001,2025,191,174,25,46,9,0,3,23,3,2,3,9,0,45,4,1,4,0,4,3,5,12
kowaj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kranm001,2025,14,12,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
krave001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kreir001,2025,211,188,24,26,1,0,2,8,4,2,1,16,0,67,7,4,2,0,4,3,5,6
kremd001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krisb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krisz001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kroom002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kuhlc001,2024,129,113,5,11,2,0,0,4,13,0,0,3,0,41,0,0,1,0,3,0,3,2
kuhnj001,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurtn001,2025,489,420,90,122,26,2,36,86,0,3,2,63,3,151,2,1,4,1,2,5,1,0
kwans001,2025,2685,2393,363,677,110,18,37,211,8,17,18,249,6,252,77,18,27,0,13,20,10,0
lambp001,2024,36,30,3,9,0,0,0,2,3,0,0,3,0,11,0,0,1,0,0,0,1,2
lamed001,2024,69,62,1,6,0,0,0,0,6,0,0,1,0,39,0,0,0,0,1,0,0,0
langa001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
langs001,2025,1700,1553,197,364,79,7,88,237,1,15,11,120,5,444,14,5,39,0,10,51,18,1
langw001,2025,1130,988,147,244,50,5,38,136,0,8,9,125,6,266,41,9,15,0,8,25,0,1
lao-s001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laraa001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
larnt001,2025,1660,1461,198,352,73,4,52,198,0,14,15,169,5,444,10,6,37,1,11,144,38,2
lasoj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
latzj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lauee001,2025,124,97,5,10,3,0,1,5,18,2,1,5,0,54,0,0,1,1,0,0,1,1
laurr001,2025,2884,2588,382,651,149,11,108,334,1,21,70,204,1,776,72,23,49,0,29,25,35,5
law-d001,2024,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawec001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawlj001,2025,110,98,12,16,7,0,0,5,0,1,2,9,0,37,3,1,0,0,1,6,11,5
lawrc001,2025,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
lawrj002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lazam001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leahk001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leasj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leblc001,2024,197,177,24,45,10,0,6,17,0,0,1,19,0,62,4,2,0,0,2,3,5,1
leclj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lee-b002,2025,712,659,59,153,21,2,19,91,0,7,4,42,2,119,6,1,17,0,6,4,18,0
lee-c005,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lee-d005,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lee-j001,2025,775,705,88,187,35,12,10,63,0,6,7,57,0,84,12,6,4,0,9,2,2,1
lee-k002,2025,530,502,51,97,20,1,14,47,1,0,0,27,0,158,6,3,14,0,9,14,19,15
leguc001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leibb001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leitj001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
leitm002,2025,29,28,0,2,0,0,0,0,1,0,0,0,0,14,0,0,1,0,0,0,0,0
lemad001,2025,6929,6228,910,1797,283,39,129,674,37,48,31,585,24,1063,93,50,191,0,77,14,57,9
leond003,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leonp001,2024,21,20,2,2,0,0,0,0,0,0,0,1,0,10,2,0,2,0,0,0,0,1
leons001,2025,1776,1593,161,331,63,2,33,155,23,9,16,135,3,470,1,1,29,0,29,8,44,2
lewir003,2025,1034,947,123,241,45,0,50,161,0,7,2,78,2,222,18,3,21,0,7,48,13,1
libem001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liled001,2025,351,321,51,96,15,11,9,41,1,3,4,21,0,56,8,6,5,1,4,15,2,1
lindf001,2025,7036,6251,1035,1705,346,27,287,877,32,64,81,608,40,1166,218,54,112,0,62,17,14,0
lipst001,2025,215,194,21,40,3,0,1,10,1,1,2,16,0,41,11,2,7,1,2,1,3,1
littb002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
littj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
littl001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
littz001,2025,4,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
liveb001,2025,33,33,2,6,0,0,2,8,0,0,0,0,0,11,0,0,0,0,1,0,1,0
loaij001,2025,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
lockb001,2025,162,148,21,33,7,1,1,12,3,2,1,8,0,41,12,1,2,0,1,3,7,17
lockt001,2025,165,148,14,25,1,0,5,9,0,0,4,13,0,63,4,1,6,0,0,0,3,2
lodon001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loftn001,2025,427,378,42,83,18,3,5,44,2,5,5,37,0,63,4,1,11,0,4,8,33,3
loguz001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longs002,2025,11,10,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
lopej004,2025,9,7,1,1,1,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0
lopej005,2024,87,80,6,19,5,0,1,6,3,0,1,3,0,31,0,1,2,0,2,0,4,1
lopej007,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lopej008,2025,367,340,36,84,17,4,8,39,2,1,7,17,0,122,5,4,5,0,4,3,14,8
lopen001,2025,2374,2128,262,522,83,18,7,153,39,5,21,181,0,340,47,19,30,0,33,5,25,15
lopeo001,2025,1039,957,115,249,44,1,21,119,2,5,4,70,2,159,35,11,22,1,24,2,8,5
lopep002,2025,89,84,4,11,4,0,0,3,4,0,0,1,0,44,0,0,1,0,1,0,4,0
loper003,2025,19,17,0,1,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0
lordb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lorem002,2025,147,133,20,31,3,1,7,24,5,0,2,7,0,47,5,2,5,0,3,1,29,21
loutr001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lover001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lowdr001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loweb001,2025,3114,2770,423,670,127,12,162,455,0,19,36,289,7,864,33,5,32,0,23,72,64,0
lowej002,2025,1528,1401,189,350,85,8,43,170,2,7,5,113,8,422,79,8,16,0,9,40,31,3
lowen001,2025,3512,3094,408,811,139,13,110,419,0,17,19,382,11,861,15,2,67,0,24,39,34,0
lucae002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luccj001,2025,104,92,3,5,0,0,0,2,5,1,0,6,0,64,0,0,0,0,0,0,0,0
lucim001,2024,126,115,14,25,8,1,0,3,0,0,0,11,0,45,1,1,1,0,3,8,2,2
lugom001,2025,70,69,9,16,2,1,4,9,0,0,1,0,0,24,0,0,3,0,0,0,6,4
lugos001,2025,67,58,7,9,3,0,1,4,6,1,0,2,0,20,0,0,1,0,1,0,1,0
luken001,2025,628,552,77,144,28,5,13,85,10,7,2,57,2,88,3,4,15,0,4,10,29,10
lux-g001,2025,2084,1856,252,473,92,16,35,214,1,10,6,211,3,467,22,5,18,0,20,62,54,3
luzaj001,2025,20,15,1,0,0,0,0,0,1,0,0,4,0,6,0,0,0,0,1,0,0,0
lylej001,2024,249,223,16,25,4,0,2,15,14,0,1,11,0,115,0,0,5,0,4,0,2,2
lyncd001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lynnl001,2024,347,293,15,24,5,0,0,7,37,1,2,14,0,166,0,0,3,0,4,0,0,0
